rank,title,author,avg_rating,num_ratings,cover_img_url,goodreads_url,source
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,10115839,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052._SX50_.jpg,https://www.goodreads.com/book/show/2767052-the-hunger-games,GoodReads
2,Pride and Prejudice,Jane Austen,4.3,4920467,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,GoodReads
3,To Kill a Mockingbird,Harper Lee,4.26,7016855,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657._SY75_.jpg,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,GoodReads
4,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3868435,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627045351i/58613451._SY75_.jpg,https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix,GoodReads
5,The Book Thief,Markus Zusak,4.39,2935583,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063._SY75_.jpg,https://www.goodreads.com/book/show/19063.The_Book_Thief,GoodReads
6,"Twilight (Twilight Saga, #1)",Stephenie Meyer,3.68,7423211,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865._SY75_.jpg,https://www.goodreads.com/book/show/41865.Twilight,GoodReads
7,Animal Farm,George Orwell,4.03,4693447,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448._SY75_.jpg,https://www.goodreads.com/book/show/170448.Animal_Farm,GoodReads
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.62,146120,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30._SX50_.jpg,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,GoodReads
9,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,716734,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127._SY75_.jpg,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,GoodReads
10,The Fault in Our Stars,John  Green,4.12,5811332,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085._SX50_.jpg,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,GoodReads
11,The Picture of Dorian Gray,Oscar Wilde,4.13,1946081,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297._SY75_.jpg,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,GoodReads
12,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3507841,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187._SY75_.jpg,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,GoodReads
13,Wuthering Heights,Emily Brontë,3.89,2237274,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185._SY75_.jpg,https://www.goodreads.com/book/show/6185.Wuthering_Heights,GoodReads
14,The Giving Tree,Shel Silverstein,4.39,1251960,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1769901237i/370493._SX50_.jpg,https://www.goodreads.com/book/show/370493.The_Giving_Tree,GoodReads
15,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3868435,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2._SY75_.jpg,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,GoodReads
16,The Perks of Being a Wallflower,Stephen Chbosky,4.24,2038811,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628._SX50_.jpg,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,GoodReads
17,The Little Prince,Antoine de Saint-Exupéry,4.33,2546694,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993._SY75_.jpg,https://www.goodreads.com/book/show/157993.The_Little_Prince,GoodReads
18,Gone with the Wind,Margaret Mitchell,4.31,1265220,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405._SY75_.jpg,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,GoodReads
19,Jane Eyre,Charlotte Brontë,4.16,2374369,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210._SY75_.jpg,https://www.goodreads.com/book/show/10210.Jane_Eyre,GoodReads
20,The Great Gatsby,F. Scott Fitzgerald,3.93,6041485,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738790966i/4671._SY75_.jpg,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,GoodReads
21,Crime and Punishment,Fyodor Dostoevsky,4.29,1121833,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144._SY75_.jpg,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,GoodReads
